"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore"
"Todos los importes en dólares, a menos que se especifique"
"Definiciones:"
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo."
"Tarifas de venta: Incluye tarifas de cierre variable y de remisión."
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta."
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido."
"fecha/hora","Id. de liquidación","tipo ","Id. del pedido","sku","descripción","cantidad","marketplace","cumplimiento","ciudad del pedido","estado del pedido","código postal del pedido","modelo de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","créditos de envío","impuesto de abono de envío","créditos por envoltorio de regalo","impuesto de créditos de envoltura","descuentos promocionales","impuesto de reembolsos promocionales","impuesto de retenciones en la plataforma","tarifas de venta","tarifas fba","tarifas de otra transacción","otro","total"
"4 ene. 2021 11:16:52 GMT-8","13675199931","Pedido","702-6104905-4837830","SADDL-2051-BLK","SADDLER - Cartera de piel de lujo con monedero con cremallera para mujer, diseño de tarjetas de crédito múltiple, en caja de regalo, color negro","1","amazon.com.mx","Amazon","Cuajimalpa","Ciudad de Mexico","05000","","570.52","0","40.06","0","0","0","0","0","0","-85.57","-156.65","0","0","368.36"
"4 ene. 2021 16:50:39 GMT-8","13675199931","Pedido","702-5263460-1001025","SR-NATO-18-BRN-SBJ657","SWISS REIMAGINED - Correa de repuesto para reloj de piel auténtica con hebilla de acero inoxidable, color marrón 18 mm","1","amazon.com.mx","Amazon","JUÁREZ","CHIHUAHUA","32540","","349.53","0","0","0","0","0","0","0","0","-52.43","-97.64","0","0","199.46"
"5 ene. 2021 0:27:42 GMT-8","13675199931","Pedido","701-3249978-2313001","SADDL-2204DD-BLK","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses,  Negro, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","06470","","452.98","0","0","0","0","0","0","0","0","-67.95","-116.59","0","0","268.44"
"5 ene. 2021 8:34:21 GMT-8","13675199931","Pedido","701-9199130-4868266","SADDL-2201DD-BLK","Saddler Womens compacto de piel auténtica Bifold cartera con cierre cartera,  Negro, Talla única","1","amazon.com.mx","Amazon","CHIMALHUACAN","MEXICO","56363","","390.94","0","0","0","39.00","0","0","0","0","-58.64","-155.59","0","0","215.71"
"5 ene. 2021 16:36:05 GMT-8","13726138751","Pedido","702-9741949-2932250","SADDL-2058-PCBLU","SADDLER - Monedero de piel auténtica con cremallera en la parte superior | bolsa de cambio para mujer | en caja de regalo, Azul Peacoat , Talla únic","1","amazon.com.mx","Amazon","CIUDAD DE MÉXICO","DISTRITO FEDERAL","04910","","350.83","0","0","0","0","0","0","0","0","-52.63","-116.59","0","0","181.61"
"6 ene. 2021 16:59:43 GMT-8","13726138751","Trasferir","","","A la cuenta que finaliza en: 002","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,144.00","-2,144.00"
"7 ene. 2021 7:27:25 GMT-8","13726138751","Pedido","701-6579610-4455466","SADDL-2030-PCBLU","SADDLER - Tarjetero de piel auténtica para mujer, cartera minimalista, caja de regalo, Azul Peacoat , Talla unica","1","amazon.com.mx","Amazon","COMALCALCO","TABASCO","86389","","311.81","0","0","0","0","0","0","0","0","-46.77","-116.59","0","0","148.45"
"7 ene. 2021 9:55:43 GMT-8","13726138751","Pedido","701-5176386-5950606","SADDL-2051-RED","Saddler - cartera de bolsillo con cierre para mujer, tamaño grande, Rojo, Talla unica","1","amazon.com.mx","Amazon","CIUDAD ADOLFO LÓPEZ MATEOS","MÉXICO","52970","","591.30","0","0","0","0","0","0","0","0","-88.69","-116.59","0","0","386.02"
"7 ene. 2021 11:29:16 GMT-8","13726138751","Pedido","701-6622381-0981065","SADDL-2060-TAUP","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Marrón t","1","amazon.com.mx","Amazon","NAUCALPAN DE JUAREZ","MEXICO","53125","","344.28","0","0","0","0","0","0","0","0","-51.64","-116.59","0","0","176.05"
"8 ene. 2021 3:18:20 GMT-8","13726138751","Pedido","702-9567541-1701054","SADDL-2045-EBLU","SADDLER - Cartera de piel con cierre de cremallera para mujer, diseño grande, color azul","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","04890","","648.24","0","0","0","0","0","0","0","0","-97.23","-116.59","0","0","434.42"
"8 ene. 2021 21:37:32 GMT-8","13726138751","Pedido","701-1642353-1030603","SADDL-2045-BLK","SADDLER - Cartera de piel de lujo con cierre de cremallera para mujer | Monedero grande para tarjetas de crédito para mujer | Caja de regalo - Negro","1","amazon.com.mx","Amazon","MONTERREY","NUEVO LEON","64890","","648.24","0","0","0","0","0","0","0","0","-97.23","-116.59","0","0","434.42"
"9 ene. 2021 3:22:16 GMT-8","13726138751","Pedido","702-3422498-1301845","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","HERMOSILLO","SONORA","83150","","392.48","0","0","0","0","0","0","0","0","-58.87","-116.59","0","0","217.02"
"9 ene. 2021 6:51:15 GMT-8","13726138751","Pedido","702-8626993-4059429","SADDL-2204DD-PTY","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses,  Putty, Talla única","1","amazon.com.mx","Amazon","CHALCO DE DIAZ COVARRUBIAS","MEXICO","56644","","450.91","0","0","0","0","0","-90.18","0","0","-54.11","-116.59","0","0","190.03"
"9 ene. 2021 11:28:45 GMT-8","13726138751","Pedido","702-4109836-1562619","SADDL-2204DD-BLK","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses,  Negro, Talla única","1","amazon.com.mx","Amazon","EL PUEBLITO","QUERETARO","76904","","451.11","0","0","0","0","0","0","0","0","-67.66","-116.59","0","0","266.86"
"9 ene. 2021 13:00:11 GMT-8","13726138751","Pedido","701-7456062-2871406","SADDL-2202DD-AST","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Fucsia, Talla única","1","amazon.com.mx","Amazon","TLALNEPANTLA DE BAZ","MEXICO","54020","","392.48","0","0","0","0","0","0","0","0","-58.87","-116.59","0","0","217.02"
"9 ene. 2021 13:22:47 GMT-8","13726138751","Pedido","701-2405582-4969060","SADDL-2060-MAG","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Magenta,","1","amazon.com.mx","Amazon","SAN CRISTOBAL DE LAS CASAS","CHIAPAS","29246","","344.28","0","0","0","0","0","0","0","0","-51.64","-116.59","0","0","176.05"
"9 ene. 2021 15:39:07 GMT-8","13726138751","Pedido","701-4177722-5433023","SADDL-2202DD-SBLU","SADDLER - Cartera de piel para mujer, diseño de monedero, Azul tormenta, Talla unica","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","14646","","390.94","0","0","0","0","0","0","0","0","-58.64","-116.59","0","0","215.71"
"10 ene. 2021 12:17:47 GMT-8","13726138751","Pedido","701-5771839-7546646","SADDL-2061-TEAL","Saddler Womens Compact soft Nappa piel Triple Gusset monedas y Clave Flap Purse, Azul turquesa, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","03590","","446.83","0","81.43","0","0","0","0","0","0","-67.02","-198.02","0","0","263.22"
"10 ene. 2021 14:43:35 GMT-8","13726138751","Pedido","701-6771781-6739449","SADDL-2202DD-PTY","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Putty, Talla única","1","amazon.com.mx","Amazon","SAN NICOLAS DE LOS GARZA","NUEVO LEON","66460","","390.94","0","0","0","0","0","0","0","0","-58.64","-116.59","0","0","215.71"
"10 ene. 2021 20:19:12 GMT-8","13726138751","Pedido","702-3280239-3196246","SR-STR-18-CRFB-BLK-CPSS","Swiss Reimined - Correa de repuesto para reloj de piel auténtica con hebilla clásica, Negro, 18 mm","1","amazon.com.mx","Amazon","Atlixco","Puebla","74260","","450.91","0","0","0","0","0","0","0","0","-72.14","-116.59","0","0","262.18"
"11 ene. 2021 9:23:54 GMT-8","13726138751","Pedido","701-6399815-5032253","SADDL-2070-FUCH","SADDLER - Cartera de piel de lujo para mujer con triple bolsillo para monedas con cremallera grande | Monedero de diseño para mujer - Perfecto para t","1","amazon.com.mx","Amazon","CHIHUAHUA","CHIHUAHUA","31107","","511.03","0","0","0","0","0","0","0","0","-76.65","-116.59","0","0","317.79"
"11 ene. 2021 9:41:06 GMT-8","13726138751","Reembolso","702-6930386-8281027","SADDL-2037-PCBLU","SADDLER - Soporte para pasaporte de piel de lujo, carteras de viaje, caja de regalo, Azul Peacoat , Talla única","1","amazon.com.mx","Amazon","SAN PEDRO GARZA GARCIA","NUEVO LEON","66250","","-352.14","0","0","0","0","0","0","0","0","42.26","0","0","0","-309.88"
"11 ene. 2021 11:31:24 GMT-8","13726138751","Pedido","702-4216495-7176248","SADDL-2201DD-BLK","Saddler Womens compacto de piel auténtica Bifold cartera con cierre cartera,  Negro, Talla única","1","amazon.com.mx","Amazon","SANTIAGO DE QUERETARO","QUERETARO","76148","","390.78","0","0","0","0","0","-78.16","0","0","-46.90","-116.59","0","0","149.13"
"11 ene. 2021 12:03:58 GMT-8","13726138751","Pedido","702-6354159-5518620","SADDL-2060-FUCH","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Fucsia, T","1","amazon.com.mx","Amazon","HUIMILPAN","QUERETARO","76973","","342.87","0","0","0","0","0","0","0","0","-51.43","-116.59","0","0","174.85"
"13 ene. 2021 14:16:04 GMT-8","13726138751","Reembolso","701-1248957-3700267","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","Zapopan","Jalisco","45180","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13 ene. 2021 15:12:13 GMT-8","13726138751","Pedido","701-9616497-3333812","SADDL-2202DD-PTY","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Putty, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","09890","","390.94","0","0","0","0","0","0","0","0","-58.64","-116.59","0","0","215.71"
"13 ene. 2021 16:55:28 GMT-8","13726138751","Pedido","701-7897855-0669804","SADDL-2030-PCBLU","SADDLER - Tarjetero de piel auténtica para mujer, cartera minimalista, caja de regalo, Azul Peacoat , Talla unica","1","amazon.com.mx","Amazon","Acapulco de Juarez","Guerrero","39890","","311.81","0","0","0","0","0","0","0","0","-46.77","-116.59","0","0","148.45"
"15 ene. 2021 1:30:04 GMT-8","13726138751","Pedido","701-2722074-3597826","SADDL-2051-BLK","SADDLER - Cartera de piel de lujo con monedero con cremallera para mujer, diseño de tarjetas de crédito múltiple, en caja de regalo, color negro","1","amazon.com.mx","Amazon","SANTA ROSALIA DE CAMARGO","CHIHUAHUA","33700","","570.52","0","0","0","0","0","0","0","0","-85.57","-116.59","0","0","368.36"
"15 ene. 2021 2:21:57 GMT-8","13726138751","Pedido","701-2889714-5988244","SADDL-2045-BLK","SADDLER - Cartera de piel de lujo con cierre de cremallera para mujer | Monedero grande para tarjetas de crédito para mujer | Caja de regalo - Negro","1","amazon.com.mx","Amazon","CUAUHTÉMOC","CHIHUAHUA","31615","","647.93","0","0","0","0","0","0","0","0","-97.18","-116.59","0","0","434.16"
"15 ene. 2021 19:01:36 GMT-8","13726138751","Pedido","702-0038700-5353878","SADDL-2204DD-SBLU","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses, Azul tormenta, Talla única","1","amazon.com.mx","Amazon","MONTERREY","NUEVO LEON","64620","","449.19","0","0","0","0","0","-89.84","0","0","-53.91","-116.59","0","0","188.85"
"16 ene. 2021 2:17:57 GMT-8","13726138751","Pedido","702-4225775-4715419","SADDL-2044-FUCH","Saddler Womens Gran multisection Concertina tipo portafolios de piel con cartera, Fucsia, Talla única","1","amazon.com.mx","Amazon","NAUCALPAN DE JUAREZ","MEXICO","53296","","748.28","0","0","0","0","0","0","0","0","-112.24","-116.59","0","0","519.45"
"17 ene. 2021 22:16:24 GMT-8","13726138751","Pedido","702-8718178-3537855","SADDL-2044-TEAL","SADDLER - portafolios de piel para mujer con múltiples secciones de tarjetas de crédito, en caja de regalo, Azul turquesa, Talla unica","1","amazon.com.mx","Amazon","NAUCALPAN DE JUAREZ","MEXICO","53296","","748.53","0","0","0","0","0","0","0","0","-112.28","-116.59","0","0","519.66"
"18 ene. 2021 2:42:55 GMT-8","13726138751","Pedido","702-6256334-2481854","SR-OLC-20S-ORDBRN","Swiss Reimagined - Correa de repuesto para reloj de piel auténtica con hebilla de acero inoxidable, color café, 20 mm","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","09819","","452.82","0","0","0","0","0","0","0","0","-72.45","-148.50","0","0","231.87"
"18 ene. 2021 2:42:55 GMT-8","13726138751","Pedido","702-6256334-2481854","SR-OLC-20S-WBLK","Swiss Reimagined - Correa de repuesto para reloj de piel auténtica con hebilla de acero inoxidable, 20 mm, color negro","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","09819","","450.37","0","0","0","0","0","0","0","0","-72.06","-97.64","0","0","280.67"
"20 ene. 2021 13:15:10 GMT-8","13774091201","Pedido","701-3232435-7485843","SADDL-2201DD-PTY","Saddler Womens compacto de piel auténtica Bifold cartera con cierre cartera,  Putty, Talla única","1","amazon.com.mx","Amazon","AGUASCALIENTES","AGUASCALIENTES","20263","","360.24","0","0","0","0","0","-72.05","0","0","-43.23","-116.59","0","0","128.37"
"20 ene. 2021 16:59:19 GMT-8","13774091201","Trasferir","","","A la cuenta que finaliza en: 002","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8,788.98","-8,788.98"
"20 ene. 2021 22:05:22 GMT-8","13774091201","Pedido","701-3184907-0514660","SADDL-2042-TAUP","SADDLER - Cartera de piel auténtica con monedero con cremallera, en caja de regalo, Marrón topo, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01780","","389.47","0","0","0","0","0","0","0","0","-58.42","-116.59","0","0","214.46"
"21 ene. 2021 0:19:41 GMT-8","13774091201","Pedido","701-9162252-2521803","SADDL-2201DD-BLK","Saddler Womens compacto de piel auténtica Bifold cartera con cierre cartera,  Negro, Talla única","1","amazon.com.mx","Amazon","GUADALAJARA","JALISCO","44600","","389.47","0","0","0","39.00","0","-77.89","0","0","-46.74","-155.59","0","0","148.25"
"21 ene. 2021 0:33:06 GMT-8","13774091201","Pedido","701-4688221-4627406","SR-NATO-22-BRN-SBJ657","SWISS REIMAGINED - Correa de repuesto para reloj de piel auténtica con hebilla de acero inoxidable, color marrón 22 mm","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","15010","","346.79","0","0","0","0","0","0","0","0","-52.01","-97.64","0","0","197.14"
"21 ene. 2021 3:24:32 GMT-8","13774091201","Pedido","701-2735902-6387409","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","EMILIANO ZAPATA","MORELOS","62763","","389.47","0","43.18","0","0","0","0","0","0","-58.42","-159.77","0","0","214.46"
"21 ene. 2021 3:25:02 GMT-8","13774091201","Pedido","701-7887982-6425817","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","CUERNAVACA","MORELOS","62269","","389.47","0","0","0","0","0","-77.89","0","0","-46.74","-116.59","0","0","148.25"
"21 ene. 2021 20:21:42 GMT-8","13774091201","Pedido","701-1226569-9696222","SADDL-2060-PCBLU","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Azul Peac","1","amazon.com.mx","Amazon","México","Ciudad de Mexico","01840","","320.48","0","0","0","0","0","0","0","0","-48.07","-116.59","0","0","155.82"
"21 ene. 2021 21:53:02 GMT-8","13774091201","Pedido","701-6350021-7608267","SADDL-2202DD-PTY","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Putty, Talla única","1","amazon.com.mx","Amazon","GUADALUPE","NUEVO LEÓN","67190","","387.65","0","0","0","0","0","-77.53","0","0","-46.52","-116.59","0","0","147.01"
"23 ene. 2021 9:55:11 GMT-8","13774091201","Pedido","702-1757769-0202653","SADDL-2044-FUCH","Saddler Womens Gran multisection Concertina tipo portafolios de piel con cartera, Fucsia, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MÉXICO","CIUDAD DE MÉXICO","02970","","783.94","0","0","0","0","0","0","0","0","-117.59","-116.59","0","0","549.76"
"23 ene. 2021 11:58:44 GMT-8","13774091201","Pedido","702-2569592-7981852","SADDL-2302-EBLU","SADDLER - Bolso bandolera de piel para mujer con correa desmontable, Azul Electric, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","","09830","","785.04","0","0","0","0","0","0","0","0","-117.75","-116.59","0","0","550.70"
"23 ene. 2021 20:25:22 GMT-8","13774091201","Pedido","702-8682483-4652201","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","TONALA","JALISCO","45400","","387.65","0","0","0","0","0","0","0","0","-58.15","-116.59","0","0","212.91"
"24 ene. 2021 3:29:23 GMT-8","13774091201","Pedido","701-7552382-4751422","SADDL-2204DD-BLK","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses, Negro, Talla única","1","amazon.com.mx","Amazon","COATZACOALCOS","VERACRUZ DE IGNACIO DE LA LLAVE","96536","","447.09","0","0","0","0","0","-89.42","0","0","-53.65","-116.59","0","0","187.43"
"24 ene. 2021 11:31:17 GMT-8","13774091201","Pedido","701-2109997-6502669","SADDL-2042-JB","Saddler Womens suave piel napa Tab Bifold Wallet - Monedero de cierre, Jelly Bean, Talla única","1","amazon.com.mx","Amazon","HERMOSILLO","SONORA","83100","","387.65","0","0","0","0","0","0","0","0","-58.15","-116.59","0","0","212.91"
"24 ene. 2021 20:36:05 GMT-8","13774091201","Pedido","701-0069346-5679428","SADDL-2051-UV","SADDLER - Cartera de piel de lujo con monedero de tres pliegues para mujer con cremallera | Soporte para tarjetas de crédito para mujer | Caja de reg","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","10640","","645.24","0","0","0","0","0","0","0","0","-96.79","-116.59","0","0","431.86"
"25 ene. 2021 20:17:23 GMT-8","13774091201","Pedido","702-7050826-8841021","SADDL-2060-PCBLU","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Azul Peac","1","amazon.com.mx","Amazon","SAN LUIS POTOSI","SAN LUIS POTOSI","78214","","320.48","0","78.63","0","0","0","0","0","0","-48.07","-195.22","0","0","155.82"
"26 ene. 2021 12:38:06 GMT-8","13774091201","Tarifa de servicio","","","Costo de la publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-4,000.12","-640.02","-4,640.14"
"27 ene. 2021 11:25:48 GMT-8","13774091201","Pedido","701-0966712-6457006","SADDL-2037-BLK","SADDLER - Soporte para pasaporte de piel de lujo, carteras de viaje, caja de regalo, color negro","1","amazon.com.mx","Amazon","SAN PEDRO GARZA GARCIA","NUEVO LEON","66250","","348.02","0","0","0","0","0","0","0","0","-52.20","-116.59","0","0","179.23"
"27 ene. 2021 11:25:48 GMT-8","13774091201","Pedido","701-0966712-6457006","SADDL-2037-PCBLU","SADDLER - Soporte para pasaporte de piel de lujo, carteras de viaje, caja de regalo, Azul Peacoat , Talla única","1","amazon.com.mx","Amazon","SAN PEDRO GARZA GARCIA","NUEVO LEON","66250","","348.02","0","0","0","0","0","0","0","0","-52.20","-116.59","0","0","179.23"
"28 ene. 2021 13:20:31 GMT-8","13774091201","Pedido","702-3699775-6478607","SR-OLC-22S-ORDBRN","22 mm antiguo café claro grosor completo cuero italiano brazalete de reloj con hebilla de acero inoxidable acabado satinado","1","amazon.com.mx","Amazon","Chihuahua","Chihuahua","31183","","352.95","0","0","0","0","0","0","0","0","-56.47","-97.64","0","0","198.84"
"28 ene. 2021 19:23:42 GMT-8","13774091201","Pedido","701-4325691-3096258","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","ATLIXCO","PUEBLA","74239","","391.76","0","80.68","0","0","0","-78.35","0","0","-47.01","-197.27","0","0","149.81"
"28 ene. 2021 21:19:03 GMT-8","13774091201","Pedido","701-2400680-3053844","SADDL-2060-MAG","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Magenta,","1","amazon.com.mx","Amazon","PACHUCA DE SOTO","HIDALGO","42082","","323.57","0","0","0","0","0","0","0","0","-48.53","-116.59","0","0","158.45"
"29 ene. 2021 0:18:34 GMT-8","13774091201","Pedido","702-4887342-2679408","SADDL-2204DD-BLK","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses, Negro, Talla única","1","amazon.com.mx","Amazon","TOLUCA DE LERDO","MEXICO","50180","","452.11","0","83.43","0","0","0","-90.42","0","0","-54.25","-200.02","0","0","190.85"
"29 ene. 2021 11:17:39 GMT-8","13774091201","Pedido","701-0894909-9261006","SR-NATO-20-BRN-SBJ657","SWISS REIMAGINED - Correa de repuesto para reloj de piel auténtica con hebilla de acero inoxidable, color marrón 20 mm","1","amazon.com.mx","Amazon","Mexico","CDMX","01700","","312.07","0","77.42","0","0","0","0","0","0","-46.81","-175.06","0","0","167.62"
"29 ene. 2021 20:08:31 GMT-8","13774091201","Pedido","701-0060132-5975457","SADDL-2204DD-PTY","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses, Putty, Talla única","2","amazon.com.mx","Amazon","IRAPUATO","GUANAJUATO","36670","","904.22","0","0","0","0","0","0","0","0","-135.63","-233.18","0","0","535.41"
"29 ene. 2021 20:08:31 GMT-8","13774091201","Pedido","701-0060132-5975457","SADDL-2051-RED.","Saddler - cartera de bolsillo con cierre para mujer, tamaño grande, Rojo, Talla unica","1","amazon.com.mx","Amazon","IRAPUATO","GUANAJUATO","36670","","592.91","0","0","0","0","0","0","0","0","-88.94","-116.59","0","0","387.38"
